Contour Area,Mean,Blinking,Emotion,Music
,,,,
368,32.823566,0,5,1
,,,,
399,31.127157,0,5,1
,,,,
399,30.346317,0,5,1
,,,,
399,32.306034,1,5,1
,,,,
331.5,30.809061,1,5,1
,,,,
335,29.422594,0,5,1
,,,,
335,28.203812,1,5,1
,,,,
399,27.113483,1,5,1
,,,,
306,26.064533,1,5,1
,,,,
370,25.193935,0,5,1
,,,,
375.5,24.75244,0,5,1
,,,,
399,25.539808,0,5,1
,,,,
317,25.845583,1,5,1
,,,,
306,25.05746,0,5,1
,,,,
317,26.52028,0,5,1
,,,,
337,25.68355,0,5,1
,,,,
399,27.031725,0,5,1
,,,,
306,26.221735,0,5,1
,,,,
335,25.534729,1,5,1
,,,,
343,25.200813,1,5,1
,,,,
368,26.39647,1,5,1
,,,,
337,27.554657,0,5,1
,,,,
335,26.859264,1,5,1
,,,,
370,27.94433,0,4,1
,,,,
399,26.617746,1,3,1
,,,,
399,25.997976,0,5,1
,,,,
370,25.432217,1,5,1
,,,,
306,24.894321,0,5,1
,,,,
318.5,25.910118,1,5,1
,,,,
399,25.36767,0,5,1
,,,,
335,24.864809,0,5,1
,,,,
368,25.81587,0,3,1
,,,,
335,26.726702,0,3,1
,,,,
399,27.610783,1,3,1
,,,,
399,27.07271,0,3,1
,,,,
399,26.087494,0,3,1
,,,,
306,26.8811,0,3,1
,,,,
304,26.409492,1,3,1
,,,,
370,26.801292,0,3,1
,,,,
399,26.570501,0,3,1
,,,,
399,26.349146,0,3,1
,,,,
335,26.150698,1,3,1
,,,,
337,25.928125,1,3,1
,,,,
335,25.713093,1,3,1
,,,,
342.5,25.874208,1,3,1
,,,,
337,26.252876,1,5,1
,,,,
335,26.393047,1,4,1
,,,,
399,27.100462,0,5,1
,,,,
335,27.777224,0,3,1
,,,,
399,27.577406,0,3,1
,,,,
399,28.25382,1,3,1
,,,,
399,27.922281,0,5,1
,,,,
372,28.560865,0,5,1
,,,,
317.5,28.249758,0,3,1
,,,,
363,28.045053,1,4,1
,,,,
399,27.750729,1,3,1
,,,,
335,27.524933,1,5,1
,,,,
335,28.171314,0,5,1
,,,,
399,28.8079,1,3,1
,,,,
335.5,28.46447,1,3,1
,,,,
306,29.072607,0,3,1
,,,,
335,29.677444,0,3,1
,,,,
335,30.270845,1,4,1
,,,,
335,30.860172,1,5,1
,,,,
335,30.603416,1,5,1
,,,,
399,30.33318,0,5,1
,,,,
317.5,31.494984,1,1,1
,,,,
335,31.121058,0,3,1
,,,,
399,30.242577,0,5,1
,,,,
399,30.532429,0,5,1
,,,,
399,30.601545,0,5,1
,,,,
399,30.284845,0,3,1
,,,,
323,30.480806,1,3,1
,,,,
396.5,30.375435,1,4,1
,,,,
317.5,30.248657,0,3,1
,,,,
399,30.325998,0,5,1
,,,,
399,nan,1,3,1
,,,,
399,nan,0,5,1
,,,,
399,nan,1,5,1
,,,,
304,nan,0,5,1
,,,,
335,68.88396,0,3,1
,,,,
304,55.542927,0,3,1
,,,,
304,42.23422,1,5,1
,,,,
368,43.591343,0,3,1
,,,,
399,41.06669,0,5,1
,,,,
304,42.874485,1,5,1
,,,,
304,40.507324,0,3,1
,,,,
381,38.51914,1,3,1
,,,,
348,36.614887,0,3,1
,,,,
357,37.04988,0,3,1
,,,,
337,35.352943,1,3,1
,,,,
399,37.071945,1,3,1
,,,,
391,37.073082,0,3,1
,,,,
356.5,38.55987,0,3,1
,,,,
368,37.162804,0,3,1
,,,,
399,35.903526,0,3,1
,,,,
335,36.16078,0,3,1
,,,,
399,34.021076,0,5,1
,,,,
399,33.002113,0,5,1
,,,,
337,34.431023,1,5,1
,,,,
399,33.48411,0,5,1
,,,,
399,33.801674,1,5,1
,,,,
399,30.074896,1,3,1
,,,,
335,28.91712,1,3,1
,,,,
335,27.849878,1,3,1
,,,,
335,28.795158,0,3,1
,,,,
335,29.280088,1,3,1
,,,,
399,28.274197,0,3,1
,,,,
377,27.299662,0,5,1
,,,,
304,29.072577,0,5,1
,,,,
335,30.744888,0,5,1
,,,,
399,29.791307,1,1,1
,,,,
335,31.324081,1,5,1
,,,,
399,31.0991,1,1,1
,,,,
399,30.939064,0,3,1
,,,,
399,29.495512,1,1,1
,,,,
399,28.855158,0,1,1
,,,,
335,27.93897,1,3,1
,,,,
399,28.560432,0,3,1
,,,,
317.5,28.261292,0,3,1
,,,,
337,27.95964,0,3,1
,,,,
337,27.660088,0,3,1
,,,,
306,27.378109,0,3,1
,,,,
348,27.09139,1,3,1
,,,,
310,26.810839,1,3,1
,,,,
348,27.100111,1,3,1
,,,,
368,26.841105,1,3,1
,,,,
335,27.409817,1,3,1
,,,,
370,27.704393,0,3,1
,,,,
304,28.771173,0,3,1
,,,,
370,29.826033,1,3,1
,,,,
323,29.591022,0,3,1
,,,,
304,30.055958,0,3,1
,,,,
337,29.785753,1,3,1
,,,,
342.5,30.023964,0,1,1
,,,,
348,30.48389,1,1,1
,,,,
304,30.227093,0,3,1
,,,,
370,nan,0,5,1
,,,,
306,6.0299892,0,5,1
,,,,
306,28.742899,1,5,1
,,,,
399,31.458591,0,5,1
,,,,
399,38.410664,1,5,1
,,,,
370,38.483315,1,5,1
,,,,
306,45.820045,1,1,1
,,,,
380,38.780228,1,3,1
,,,,
368,36.0279,0,1,1
,,,,
342.5,38.747913,1,3,1
,,,,
348,38.744453,0,3,1
,,,,
381,42.89303,1,5,1
,,,,
387.5,37.178314,0,3,1
,,,,
317,38.947716,0,5,1
,,,,
348,37.297813,0,3,1
,,,,
304,35.83691,1,3,1
,,,,
306,36.136837,1,3,1
,,,,
338,39.063053,0,3,1
,,,,
393,36.492184,0,1,1
,,,,
370,39.02901,0,5,1
,,,,
306,40.18142,0,3,1
,,,,
317.5,39.029022,1,5,1
,,,,
338,37.954315,0,5,1
,,,,
399,36.927807,0,5,1
,,,,
337,35.46956,1,5,1
,,,,
387,34.667942,0,3,1
,,,,
335,33.199055,0,1,1
,,,,
335,32.477337,0,5,1
,,,,
376,31.217285,0,5,1
,,,,
376,30.625832,1,5,1
,,,,
399,30.069883,0,5,1
,,,,
304,29.567966,1,5,1
,,,,
399,29.995396,1,5,1
,,,,
306,nan,0,5,1
,,,,
375.5,nan,1,3,1
,,,,
399,6.4031243,0,3,1
,,,,
399,6.4031243,0,1,1
,,,,
335,6.4031243,0,3,1
,,,,
304,7.009449,1,3,1
,,,,
310,26.22574,1,3,1
,,,,
399,44.173283,0,3,1
,,,,
335,34.843487,0,3,1
,,,,
335,31.527544,1,3,1
,,,,
399,39.18729,1,3,1
,,,,
399,36.448727,0,3,1
,,,,
399,42.19775,0,3,1
,,,,
399,46.5683,1,3,1
,,,,
399,41.62938,1,3,1
,,,,
342.5,45.12981,1,3,1
,,,,
399,41.34308,0,3,1
,,,,
399,38.115993,1,3,1
,,,,
306,35.34692,1,3,1
,,,,
399,32.929283,1,3,1
,,,,
317.5,30.886545,0,5,1
,,,,
335,29.124836,0,3,1
,,,,
399,27.524212,1,3,1
,,,,
